NumberOfSamplePoint, frequency, freq_position, freq_true, S_real, S_imag, S_abs, S_dB
26,3,428.55,3.003,-0.81298,0.53351,0.97241,-0.24301
26,4,571.4,3.997,0.74926,0.61205,0.96747,-0.28723
26,5,714.25,4.998,-0.020753,-0.022161,0.030361,-30.354
26,6,857.1,5.999,0.025441,-0.018594,0.031512,-30.03
26,7,999.95,7,-0.00021658,-0.0001868,0.00028601,-70.872
27,0,0,0,1,0,1,-2.1323e-10
27,1,142.85,1.001,0.3257,-0.898,0.95524,-0.39775
27,2,285.7,2.002,-0.68651,-0.61113,0.91912,-0.73253
27,3,428.55,3.003,-0.78003,0.57408,0.96851,-0.27793
27,4,571.4,3.997,0.83792,0.48101,0.96617,-0.29894
27,5,714.25,4.998,-0.0058976,-0.006473,0.0087568,-41.153
27,6,857.1,5.999,0.013422,-0.013285,0.018885,-34.478
27,7,999.95,7,-0.0049886,-0.011126,0.012193,-38.278
28,0,0,0,1,0,1,-2.0347e-10
28,1,142.85,1.001,0.3745,-0.87915,0.9556,-0.39452
28,2,285.7,2.002,-0.60775,-0.67689,0.90969,-0.82211
28,3,428.55,3.003,-0.86439,0.4,0.95245,-0.42315
28,4,571.4,3.997,0.64794,0.72165,0.96985,-0.26592
28,5,714.25,4.998,0.01595,0.0031718,0.016263,-35.776
28,6,857.1,5.999,0.014775,-0.015254,0.021236,-33.458
28,7,999.95,7,-0.0031613,-0.0070397,0.007717,-42.251
29,0,0,0,1,0,1,-2.0998e-10
29,1,142.85,1.001,0.34297,-0.89381,0.95735,-0.3786
29,2,285.7,2.002,-0.66938,-0.63776,0.92455,-0.68136
29,3,428.55,3.003,-0.81071,0.54542,0.97711,-0.20113
29,4,571.4,3.997,0.75342,0.5754,0.94801,-0.46372
29,5,714.25,4.998,-0.025387,-0.01111,0.027712,-31.147
29,6,857.1,5.999,0.0034343,-0.0041966,0.0054227,-45.316
29,7,999.95,7,-0.040196,-0.057121,0.069847,-23.117
30,0,0,0,1,0,1,-2.0684e-10
30,1,142.85,1.001,0.358,-0.88707,0.95659,-0.38552
30,2,285.7,2.002,-0.63936,-0.65483,0.9152,-0.76969
30,3,428.55,3.003,-0.83538,0.47101,0.95902,-0.36348
30,4,571.4,3.997,0.76151,0.59205,0.96458,-0.3132
30,5,714.25,4.998,0.032571,0.011257,0.034462,-29.253
30,6,857.1,5.999,0.016433,-0.016323,0.023162,-32.704
30,7,999.95,7,-0.005517,-0.012339,0.013516,-37.383
31,0,0,0,1,0,1,-2.148e-10
31,1,142.85,1.001,0.33246,-0.89243,0.95234,-0.42416
31,2,285.7,2.002,-0.66997,-0.62209,0.91425,-0.7787
31,3,428.55,3.003,-0.79183,0.56377,0.97203,-0.24645
31,4,571.4,3.997,0.84891,0.4505,0.96104,-0.34517
31,5,714.25,4.998,0.005725,-0.0012399,0.0058577,-44.645
31,6,857.1,5.999,0.0037735,-0.0048665,0.0061581,-44.211
31,7,999.95,7,-0.033634,-0.049246,0.059636,-24.49
32,0,0,0,1,0,1,-2.0764e-10
32,1,142.85,1.001,0.35995,-0.87892,0.94977,-0.44761
32,2,285.7,2.002,-0.61185,-0.65781,0.89837,-0.93086
32,3,428.55,3.003,-0.84938,0.41747,0.94643,-0.47826
32,4,571.4,3.997,0.69218,0.67796,0.96888,-0.27456
32,5,714.25,4.998,0.0080591,-0.00057459,0.0080796,-41.852
32,6,857.1,5.999,0.0074011,-0.0084233,0.011213,-39.006
32,7,999.95,7,-0.018245,-0.032905,0.037625,-28.491
33,0,0,0,1,0,1,-2.0417e-10
33,1,142.85,1.001,0.3698,-0.89261,0.96618,-0.29885
33,2,285.7,2.002,-0.65082,-0.67174,0.93531,-0.58091
33,3,428.55,3.003,-0.85104,0.46361,0.96913,-0.27236
33,4,571.4,3.997,0.64035,0.7321,0.97263,-0.24103
33,5,714.25,4.998,-0.025157,-0.029487,0.038761,-28.232
33,6,857.1,5.999,0.029242,-0.020797,0.035883,-28.902
33,7,999.95,7,-6.7508e-05,1.3464e-05,6.8837e-05,-83.244
34,0,0,0,1,0,1,-2.0726e-10
34,1,142.85,1.001,0.34609,-0.89789,0.96229,-0.33391
34,2,285.7,2.002,-0.68218,-0.63245,0.93025,-0.62805
34,3,428.55,3.003,-0.78104,0.57644,0.97073,-0.25805
34,4,571.4,3.997,0.88914,0.2368,0.92013,-0.72301
34,5,714.25,4.998,0.041196,0.011544,0.042783,-27.375
34,6,857.1,5.999,0.0097942,-0.010737,0.014533,-36.753
34,7,999.95,7,-0.012203,-0.023734,0.026687,-31.474
35,0,0,0,1,0,1,-2.0271e-10
35,1,142.85,1.001,0.37438,-0.88764,0.96336,-0.32419
35,2,285.7,2.002,-0.63328,-0.68042,0.92952,-0.63479
35,3,428.55,3.003,-0.86836,0.42892,0.96851,-0.27788
35,4,571.4,3.997,0.55059,0.79645,0.96824,-0.28038
35,5,714.25,4.998,-0.082708,-0.08434,0.11813,-18.553
35,6,857.1,5.999,0.019054,-0.015253,0.024407,-32.25
35,7,999.95,7,-0.00020907,-0.00022564,0.00030762,-70.24
36,0,0,0,1,0,1,-2.0822e-10
36,1,142.85,1.001,0.35995,-0.89801,0.96746,-0.28732
36,2,285.7,2.002,-0.67147,-0.65963,0.94127,-0.52571
36,3,428.55,3.003,-0.83743,0.50256,0.97665,-0.20518
36,4,571.4,3.997,0.63958,0.73124,0.97148,-0.25133
36,5,714.25,4.998,-0.068507,-0.072718,0.099905,-20.008
36,6,857.1,5.999,0.024757,-0.01755,0.030346,-30.358
36,7,999.95,7,0.00011826,-0.00010488,0.00015807,-76.023
37,0,0,0,1,0,1,-2.3162e-10
37,1,142.85,1.001,0.25148,-0.92794,0.96141,-0.34181
37,2,285.7,2.002,-0.82392,-0.47959,0.95334,-0.41503
37,3,428.55,3.003,-0.47777,0.85739,0.98152,-0.16204
37,4,571.4,3.997,0.77311,-0.41476,0.87734,-1.1367
37,5,714.25,4.998,0.0041551,-0.0010739,0.0042917,-47.348
37,6,857.1,5.999,0.0018382,-0.0026819,0.0032514,-49.759
37,7,999.95,7,-0.054093,-0.063596,0.083489,-21.567
38,0,0,0,1,0,1,-2.123e-10
38,1,142.85,1.001,0.35113,-0.88589,0.95294,-0.41871
38,2,285.7,2.002,-0.63713,-0.64894,0.90943,-0.82465
38,3,428.55,3.003,-0.84041,0.46411,0.96005,-0.35414
38,4,571.4,3.997,0.67445,0.69203,0.96633,-0.29749
38,5,714.25,4.998,-0.03718,-0.024003,0.044255,-27.081
38,6,857.1,5.999,0.010358,-0.010857,0.015005,-36.475
38,7,999.95,7,-0.0048802,-0.010676,0.011739,-38.607
39,0,0,0,1,0,1,-2.0848e-10
39,1,142.85,1.001,0.33914,-0.90711,0.96843,-0.27863
39,2,285.7,2.002,-0.71174,-0.63004,0.95054,-0.44057
39,3,428.55,3.003,-0.78578,0.59595,0.98621,-0.12063
39,4,571.4,3.997,0.69171,0.63558,0.93937,-0.54327
39,5,714.25,4.998,-0.11255,-0.080533,0.1384,-17.177
39,6,857.1,5.999,0.0098652,-0.0092387,0.013516,-37.383
39,7,999.95,7,-0.00054246,-0.0010027,0.00114,-58.862
40,0,0,0,1,0,1,-2.1424e-10
40,1,142.85,1.001,0.33408,-0.8973,0.95747,-0.37748
40,2,285.7,2.002,-0.68279,-0.61902,0.92162,-0.70892
40,3,428.55,3.003,-0.77715,0.57553,0.96705,-0.29098
40,4,571.4,3.997,0.88399,0.30932,0.93655,-0.56942
40,5,714.25,4.998,0.036775,0.010936,0.038367,-28.321
40,6,857.1,5.999,0.012584,-0.013219,0.018251,-34.774
40,7,999.95,7,-0.011416,-0.023098,0.025765,-31.779
41,0,0,0,1,0,1,-2.1538e-10
41,1,142.85,1.001,0.31163,-0.90198,0.95429,-0.40636
41,2,285.7,2.002,-0.7096,-0.58987,0.92275,-0.69828
41,3,428.55,3.003,-0.73376,0.64654,0.97797,-0.1935
41,4,571.4,3.997,0.91719,0.29332,0.96295,-0.32793
41,5,714.25,4.998,-0.0020654,-0.0028939,0.0035554,-48.982
41,6,857.1,5.999,0.0057182,-0.0071678,0.0091692,-40.753
41,7,999.95,7,-0.011,-0.019894,0.022733,-32.867
42,0,0,0,1,0,1,-2.115e-10
42,1,142.85,1.001,0.3355,-0.89687,0.95756,-0.37666
42,2,285.7,2.002,-0.68072,-0.62264,0.92253,-0.7004
42,3,428.55,3.003,-0.78713,0.56797,0.97065,-0.25873
42,4,571.4,3.997,0.84741,0.46429,0.96626,-0.2981
42,5,714.25,4.998,-0.010294,-0.0067386,0.012304,-38.199
42,6,857.1,5.999,0.0052223,-0.0059281,0.0079003,-42.047
42,7,999.95,7,-0.019699,-0.033889,0.039198,-28.135
43,0,0,0,1,0,1,-2.1464e-10
43,1,142.85,1.001,0.30964,-0.91161,0.96277,-0.32959
43,2,285.7,2.002,-0.74139,-0.58053,0.94163,-0.52235
43,3,428.55,3.003,-0.69534,0.69583,0.98371,-0.14268
43,4,571.4,3.997,0.93773,0.1236,0.94584,-0.48363
43,5,714.25,4.998,0.017426,0.0023179,0.017579,-35.1
43,6,857.1,5.999,0.0077173,-0.0090093,0.011863,-38.516
43,7,999.95,7,-0.023831,-0.04002,0.046578,-26.636
44,0,0,0,1,0,1,-2.1495e-10
44,1,142.85,1.001,0.32431,-0.90397,0.96038,-0.35112
44,2,285.7,2.002,-0.71005,-0.60891,0.93538,-0.58023
44,3,428.55,3.003,-0.75766,0.62646,0.98311,-0.14794
44,4,571.4,3.997,0.83037,0.47246,0.95537,-0.39656
44,5,714.25,4.998,-0.029913,-0.013224,0.032706,-29.708
44,6,857.1,5.999,0.0065494,-0.0076659,0.010083,-39.928
44,7,999.95,7,-0.0094894,-0.018179,0.020507,-33.762
45,0,0,0,1,0,1,-2.0433e-10
45,1,142.85,1.001,0.36363,-0.89355,0.9647,-0.31213
45,2,285.7,2.002,-0.65754,-0.66349,0.93412,-0.59192
45,3,428.55,3.003,-0.84076,0.48848,0.97237,-0.2434
45,4,571.4,3.997,0.68075,0.69236,0.97097,-0.25588
45,5,714.25,4.998,-0.030152,-0.026835,0.040364,-27.88
45,6,857.1,5.999,0.019807,-0.016597,0.025841,-31.754
45,7,999.95,7,-0.00062104,-0.0011612,0.0013168,-57.61
46,0,0,0,1,0,1,-2.033e-10
46,1,142.85,1.001,0.36645,-0.89289,0.96516,-0.30801
46,2,285.7,2.002,-0.65527,-0.66137,0.93102,-0.62086
46,3,428.55,3.003,-0.8252,0.49335,0.96143,-0.34166
46,4,571.4,3.997,0.78851,0.4871,0.92683,-0.65997
46,5,714.25,4.998,0.046979,0.025615,0.053509,-25.431
46,6,857.1,5.999,0.026714,-0.021451,0.034261,-29.304
46,7,999.95,7,-0.0013008,-0.0029118,0.0031892,-49.926
47,0,0,0,1,0,1,-2.1703e-10
47,1,142.85,1.001,0.3366,-0.90206,0.96282,-0.32912
47,2,285.7,2.002,-0.69551,-0.6251,0.93513,-0.58251
47,3,428.55,3.003,-0.78865,0.57787,0.9777,-0.1959
47,4,571.4,3.997,0.79061,0.55973,0.9687,-0.27625
47,5,714.25,4.998,-0.040833,-0.026204,0.048518,-26.282
47,6,857.1,5.999,0.0099547,-0.0096704,0.013879,-37.153
47,7,999.95,7,-0.00595,-0.013277,0.01455,-36.743
48,0,0,0,1,0,1,-2.0727e-10
48,1,142.85,1.001,0.35271,-0.89544,0.9624,-0.33288
48,2,285.7,2.002,-0.6689,-0.65077,0.93324,-0.60016
48,3,428.55,3.003,-0.82628,0.52241,0.97758,-0.19697
48,4,571.4,3.997,0.70428,0.65305,0.96046,-0.35041
48,5,714.25,4.998,-0.030107,-0.020655,0.036511,-28.751
48,6,857.1,5.999,0.013578,-0.013373,0.019058,-34.398
48,7,999.95,7,-0.0043796,-0.0098633,0.010792,-39.338
49,0,0,0,1,0,1,-1.9946e-10
49,1,142.85,1.001,0.39232,-0.87938,0.96293,-0.32813
49,2,285.7,2.002,-0.60122,-0.70293,0.92498,-0.67738
49,3,428.55,3.003,-0.89097,0.36334,0.9622,-0.33467
49,4,571.4,3.997,0.47811,0.8398,0.96636,-0.2972
49,5,714.25,4.998,-0.086251,-0.081792,0.11887,-18.499
49,6,857.1,5.999,0.011278,-0.010301,0.015274,-36.321
49,7,999.95,7,-0.0038133,-0.0091834,0.0099436,-40.049
50,0,0,0,1,0,1,-2.1804e-10
50,1,142.85,1.001,0.29994,-0.90413,0.95258,-0.42195
50,2,285.7,2.002,-0.72551,-0.57216,0.92398,-0.68676
50,3,428.55,3.003,-0.68875,0.70074,0.98256,-0.15286
50,4,571.4,3.997,0.95205,0.094608,0.95674,-0.38412
50,5,714.25,4.998,0.0034012,-0.0012731,0.0036316,-48.798
50,6,857.1,5.999,0.00070772,-0.00088209,0.0011309,-58.931
50,7,999.95,7,-0.086089,-0.085904,0.12162,-18.3
51,0,0,0,1,0,1,-2.2002e-10
51,1,142.85,1.001,0.29546,-0.90456,0.95159,-0.43101
51,2,285.7,2.002,-0.72938,-0.56727,0.92401,-0.68647
51,3,428.55,3.003,-0.68205,0.70875,0.98362,-0.14344
51,4,571.4,3.997,0.94523,0.14563,0.95638,-0.38738
51,5,714.25,4.998,-0.0020448,-0.0017804,0.0027113,-51.337
51,6,857.1,5.999,0.0012695,-0.0017971,0.0022003,-53.15
51,7,999.95,7,-0.050374,-0.059857,0.078233,-22.132
52,0,0,0,1,0,1,-2.1745e-10
52,1,142.85,1.001,0.31717,-0.90104,0.95523,-0.3978
52,2,285.7,2.002,-0.7021,-0.60094,0.92416,-0.68508
52,3,428.55,3.003,-0.76078,0.61442,0.9779,-0.19409
52,4,571.4,3.997,0.8437,0.46582,0.96375,-0.32074
52,5,714.25,4.998,-0.022778,-0.011629,0.025575,-31.844
52,6,857.1,5.999,0.0086507,-0.0097067,0.013002,-37.72
52,7,999.95,7,-0.0081537,-0.016348,0.018269,-34.766
53,0,0,0,1,0,1,-2.1418e-10
53,1,142.85,1.001,0.32031,-0.8998,0.95511,-0.39894
53,2,285.7,2.002,-0.70104,-0.60274,0.92452,-0.68165
53,3,428.55,3.003,-0.74488,0.63647,0.97976,-0.1776
53,4,571.4,3.997,0.93114,0.22168,0.95717,-0.38024
53,5,714.25,4.998,0.027929,0.0023,0.028024,-31.049
53,6,857.1,5.999,0.0042605,-0.005639,0.0070675,-43.015
53,7,999.95,7,-0.052561,-0.069217,0.086912,-21.218
54,0,0,0,1,0,1,-2.1072e-10
54,1,142.85,1.001,0.33203,-0.90145,0.96065,-0.34868
54,2,285.7,2.002,-0.69947,-0.61764,0.93314,-0.6011
